0, -8.79231e-17, -0.579153, 2.34567, 3.14159, 1.76651, 1.39896e-16, -3.14159
0.1, -0.111843, -0.590043, 2.34535, 3.02783, 1.75414, 0.177907, -2.98451
0.2, -0.218322, -0.621926, 2.34427, 2.92082, 1.71872, 0.347225, -2.82743
0.3, -0.315084, -0.672627, 2.34202, 2.82507, 1.66453, 0.501884, -2.67035
0.4, -0.399327, -0.739037, 2.33808, 2.74212, 1.59682, 0.639303, -2.51327
0.5, -0.469762, -0.817635, 2.3319, 2.67119, 1.5204, 0.759788, -2.35619
0.6, -0.526207, -0.904916, 2.32307, 2.61029, 1.43893, 0.865363, -2.19911
0.7, -0.569098, -0.997667, 2.31131, 2.55721, 1.35488, 0.958785, -2.04204
0.8, -0.599096, -1.09309, 2.29657, 2.50996, 1.2697, 1.04297, -1.88496
0.9, -0.616814, -1.18885, 2.279, 2.46702, 1.18408, 1.12078, -1.72788
1, -0.622671, -1.28301, 2.25892, 2.42739, 1.09816, 1.19493, -1.5708
1.1, -0.616814, -1.374, 2.23685, 2.39062, 1.01167, 1.26814, -1.41372
1.2, -0.599096, -1.4605, 2.21342, 2.3569, 0.924025, 1.34324, -1.25664
1.3, -0.569098, -1.54133, 2.18939, 2.32721, 0.834437, 1.4235, -1.09956
1.4, -0.526207, -1.61538, 2.16562, 2.30375, 0.742053, 1.51304, -0.942478
1.5, -0.469762, -1.6815, 2.14304, 2.29088, 0.646202, 1.61781, -0.785398
1.6, -0.399327, -1.73844, 2.12263, 2.29704, 0.546861, 1.74739, -0.628319
1.7, -0.315084, -1.78485, 2.10538, 2.33924, 0.445615, 1.91935, -0.471239
1.8, -0.218322, -1.81934, 2.09224, 2.4529, 0.347773, 2.16883, -0.314159
1.9, -0.111843, -1.84064, 2.08399, 2.70542, 0.267359, 2.56203, -0.15708
2, 3.88761e-14, -1.84785, 2.08117, 9.71567e-14, -0.233327, 9.25749e-14, 6.97574e-16
2.1, 0.111843, -1.84064, 2.08399, 3.57776, 0.267359, -2.56203, 0.15708
2.2, 0.218322, -1.81934, 2.09224, 3.83029, 0.347773, -2.16883, 0.314159
2.3, 0.315084, -1.78485, 2.10538, 3.94395, 0.445615, -1.91935, 0.471239
2.4, 0.399327, -1.73844, 2.12263, 3.98615, 0.546861, -1.74739, 0.628319
2.5, 0.469762, -1.6815, 2.14304, 3.99231, 0.646202, -1.61781, 0.785398
2.6, 0.526207, -1.61538, 2.16562, 3.97943, 0.742053, -1.51304, 0.942478
2.7, 0.569098, -1.54133, 2.18939, 3.95598, 0.834437, -1.4235, 1.09956
2.8, 0.599096, -1.4605, 2.21342, 3.92628, 0.924025, -1.34324, 1.25664
2.9, 0.616814, -1.374, 2.23685, 3.89256, 1.01167, -1.26814, 1.41372
3, 0.622671, -1.28301, 2.25892, 3.8558, 1.09816, -1.19493, 1.5708
3.1, 0.616814, -1.18885, 2.279, 3.81616, 1.18408, -1.12078, 1.72788
3.2, 0.599096, -1.09309, 2.29657, 3.77322, 1.2697, -1.04297, 1.88496
3.3, 0.569098, -0.997667, 2.31131, 3.72597, 1.35488, -0.958785, 2.04204
3.4, 0.526207, -0.904916, 2.32307, 3.67289, 1.43893, -0.865363, 2.19911
3.5, 0.469762, -0.817635, 2.3319, 3.612, 1.5204, -0.759788, 2.35619
3.6, 0.399327, -0.739037, 2.33808, 3.54106, 1.59682, -0.639303, 2.51327
3.7, 0.315084, -0.672627, 2.34202, 3.45811, 1.66453, -0.501884, 2.67035
3.8, 0.218322, -0.621926, 2.34427, 3.36237, 1.71872, -0.347225, 2.82743
3.9, 0.111843, -0.590043, 2.34535, 3.25535, 1.75414, -0.177907, 2.98451
